"unique_id","version"
"AKSCBLMariner/images/V2gen2/versions/202406.19.0","202406.19.0"
"AKSUbuntu/images/2204containerd/versions/202406.19.0","202406.19.0"
"AKSUbuntu/images/2204gen2containerd/versions/202406.19.0","202406.19.0"
"AKSAzureLinux/images/V2gen2/versions/202406.19.0","202406.19.0"
"AKSAzureLinux/images/V2gen2fips/versions/202406.19.0","202406.19.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202406.19.0","202406.19.0"
"AKSCBLMariner/images/V2gen2fips/versions/202406.19.0","202406.19.0"
"AKSCBLMariner/images/V2/versions/202406.19.0","202406.19.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202406.19.0","202406.19.0"
"AKSAzureLinux/images/V2/versions/202406.19.0","202406.19.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202406.19.0","202406.19.0"
"AKSCBLMariner/images/V2gen2TL/versions/202406.19.0","202406.19.0"
"AKSAzureLinux/images/V2gen2TL/versions/202406.19.0","202406.19.0"
"AKSUbuntu/images/2204gen2containerd/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2gen2/versions/202406.07.0","202406.07.0"
"AKSAzureLinux/images/V2gen2/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2gen2fips/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202406.07.0","202406.07.0"
"AKSAzureLinux/images/V2gen2fips/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2204containerd/versions/202406.07.0","202406.07.0"
"AKSAzureLinux/images/V2/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2katagen2/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2gen2TL/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202406.07.0","202406.07.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2004fipscontainerd/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202406.07.0","202406.07.0"
"AKSCBLMariner/images/V2fips/versions/202406.07.0","202406.07.0"
"AKSAzureLinux/images/V2gen2TL/versions/202406.07.0","202406.07.0"
"AKSUbuntuEdgeZone/images/2204containerd/versions/202406.07.0","202406.07.0"
"AKSUbuntu/images/2204gen2containerd/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2gen2/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2204containerd/versions/202405.27.0","202405.27.0"
"AKSAzureLinux/images/V2gen2/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202405.27.0","202405.27.0"
"AKSAzureLinux/images/V2/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2katagen2/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2gen2fips/versions/202405.27.0","202405.27.0"
"AKSAzureLinux/images/V2gen2fips/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202405.27.0","202405.27.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202405.27.0","202405.27.0"
"AKSAzureLinux/images/V2gen2TL/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2004fipscontainerd/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2gen2TL/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202405.27.0","202405.27.0"
"AKSUbuntuEdgeZone/images/2204gen2containerd/versions/202405.27.0","202405.27.0"
"AKSCBLMariner/images/V2fips/versions/202405.27.0","202405.27.0"
"AKSUbuntuEdgeZone/images/2204containerd/versions/202405.27.0","202405.27.0"
"AKSUbuntu/images/2204gen2containerd/versions/202405.20.0","202405.20.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202405.20.0","202405.20.0"
"AKSCBLMariner/images/V2gen2/versions/202405.20.0","202405.20.0"
"AKSUbuntu/images/2204containerd/versions/202405.20.0","202405.20.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202405.20.0","202405.20.0"
"AKSAzureLinux/images/V2gen2/versions/202405.20.0","202405.20.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202405.20.0","202405.20.0"
"AKSCBLMariner/images/V2katagen2/versions/202405.20.0","202405.20.0"
"AKSCBLMariner/images/V2gen2fips/versions/202405.20.0","202405.20.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202405.20.0","202405.20.0"
