"unique_id","version"
"AKSCBLMariner/images/V2/versions/202405.20.0","202405.20.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202405.20.0","202405.20.0"
"AKSUbuntuEdgeZone/images/2204gen2containerd/versions/202405.20.0","202405.20.0"
"AKSAzureLinux/images/V2/versions/202405.20.0","202405.20.0"
"AKSCBLMariner/images/V2gen2TL/versions/202405.20.0","202405.20.0"
"AKSCBLMariner/images/V2gen2/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2204gen2containerd/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2204containerd/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202405.03.0","202405.03.0"
"AKSAzureLinux/images/V2gen2/versions/202405.03.0","202405.03.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202405.03.0","202405.03.0"
"AKSCBLMariner/images/V2/versions/202405.03.0","202405.03.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202405.03.0","202405.03.0"
"AKSAzureLinux/images/V2/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202405.03.0","202405.03.0"
"AKSCBLMariner/images/V2gen2fips/versions/202405.03.0","202405.03.0"
"AKSCBLMariner/images/V2katagen2/versions/202405.03.0","202405.03.0"
"AKSAzureLinux/images/V2gen2TL/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2004fipscontainerd/versions/202405.03.0","202405.03.0"
"AKSUbuntu/images/2204gen2containerd/versions/202404.16.0","202404.16.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202404.16.0","202404.16.0"
"AKSCBLMariner/images/V2gen2/versions/202404.16.0","202404.16.0"
"AKSUbuntu/images/2204containerd/versions/202404.16.0","202404.16.0"
"AKSCBLMariner/images/V2/versions/202404.16.0","202404.16.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202404.16.0","202404.16.0"
"AKSAzureLinux/images/V2gen2/versions/202404.16.0","202404.16.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202404.16.0","202404.16.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202404.16.0","202404.16.0"
"AKSCBLMariner/images/V2katagen2/versions/202404.16.0","202404.16.0"
"AKSCBLMariner/images/V2gen2fips/versions/202404.16.0","202404.16.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202404.16.0","202404.16.0"
"AKSAzureLinux/images/V2gen2TL/versions/202404.16.0","202404.16.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202404.16.0","202404.16.0"
"AKSCBLMariner/images/V2gen2TL/versions/202404.16.0","202404.16.0"
"AKSUbuntu/images/2204containerd/versions/202404.09.0","202404.09.0"
"AKSCBLMariner/images/V2gen2/versions/202404.09.0","202404.09.0"
"AKSUbuntu/images/2204gen2containerd/versions/202404.09.0","202404.09.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202404.09.0","202404.09.0"
"AKSAzureLinux/images/V2gen2/versions/202404.09.0","202404.09.0"
"AKSCBLMariner/images/V2/versions/202404.09.0","202404.09.0"
"AKSCBLMariner/images/V2katagen2/versions/202404.09.0","202404.09.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202404.09.0","202404.09.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202404.09.0","202404.09.0"
"AKSCBLMariner/images/V2gen2fips/versions/202404.09.0","202404.09.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202404.09.0","202404.09.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202404.09.0","202404.09.0"
"AKSAzureLinux/images/V2gen2TL/versions/202404.09.0","202404.09.0"
"AKSAzureLinux/images/V2/versions/202404.09.0","202404.09.0"
"AKSUbuntu/images/2204gen2containerd/versions/202404.01.0","202404.01.0"
"AKSAzureLinux/images/V2gen2/versions/202404.01.0","202404.01.0"
"AKSUbuntu/images/2204containerd/versions/202404.01.0","202404.01.0"
"AKSCBLMariner/images/V2gen2/versions/202404.01.0","202404.01.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202404.01.0","202404.01.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202404.01.0","202404.01.0"
"AKSCBLMariner/images/V2/versions/202404.01.0","202404.01.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202404.01.0","202404.01.0"
"AKSCBLMariner/images/V2gen2fips/versions/202404.01.0","202404.01.0"
"AKSCBLMariner/images/V2gen2/versions/202403.25.0","202403.25.0"
"AKSUbuntu/images/2204gen2containerd/versions/202403.25.0","202403.25.0"
"AKSUbuntu/images/2204containerd/versions/202403.25.0","202403.25.0"
"AKSCBLMariner/images/V2/versions/202403.25.0","202403.25.0"
"AKSAzureLinux/images/V2gen2/versions/202403.25.0","202403.25.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202403.25.0","202403.25.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202403.25.0","202403.25.0"
"AKSCBLMariner/images/V2gen2fips/versions/202403.25.0","202403.25.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202403.25.0","202403.25.0"
"AKSAzureLinux/images/V2/versions/202403.25.0","202403.25.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202403.25.0","202403.25.0"
"AKSCBLMariner/images/V2katagen2/versions/202403.25.0","202403.25.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202403.25.0","202403.25.0"
"AKSUbuntu/images/2204gen2containerd/versions/202403.19.0","202403.19.0"
"AKSUbuntu/images/2204containerd/versions/202403.19.0","202403.19.0"
"AKSCBLMariner/images/V2gen2/versions/202403.19.0","202403.19.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202403.19.0","202403.19.0"
"AKSAzureLinux/images/V2gen2/versions/202403.19.0","202403.19.0"
"AKSCBLMariner/images/V2gen2fips/versions/202403.19.0","202403.19.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202403.19.0","202403.19.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202403.19.0","202403.19.0"
"AKSCBLMariner/images/V2/versions/202403.19.0","202403.19.0"
"AKSUbuntu/images/2204gen2containerd/versions/202403.13.0","202403.13.0"
"AKSUbuntu/images/2204containerd/versions/202403.13.0","202403.13.0"
"AKSCBLMariner/images/V2gen2/versions/202403.13.0","202403.13.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202403.13.0","202403.13.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202403.13.0","202403.13.0"
"AKSCBLMariner/images/V2/versions/202403.13.0","202403.13.0"
"AKSCBLMariner/images/V2gen2fips/versions/202403.13.0","202403.13.0"
"AKSUbuntu/images/2004fipscontainerd/versions/202403.13.0","202403.13.0"
"AKSAzureLinux/images/V2gen2/versions/202403.13.0","202403.13.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202403.13.0","202403.13.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202403.13.0","202403.13.0"
"AKSAzureLinux/images/V2gen2arm64/versions/202403.13.0","202403.13.0"
"AKSUbuntu/images/2204gen2containerd/versions/202403.04.0","202403.04.0"
"AKSUbuntu/images/2204containerd/versions/202403.04.0","202403.04.0"
"AKSCBLMariner/images/V2gen2/versions/202403.04.0","202403.04.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202403.04.0","202403.04.0"
"AKSAzureLinux/images/V2gen2/versions/202403.04.0","202403.04.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202403.04.0","202403.04.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202403.04.0","202403.04.0"
"AKSCBLMariner/images/V2/versions/202403.04.0","202403.04.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202403.04.0","202403.04.0"
"AKSCBLMariner/images/V2gen2fips/versions/202403.04.0","202403.04.0"
"AKSCBLMariner/images/V2katagen2/versions/202403.04.0","202403.04.0"
"AKSUbuntu/images/2204gen2containerd/versions/202402.26.0","202402.26.0"
"AKSCBLMariner/images/V2gen2/versions/202402.26.0","202402.26.0"
"AKSUbuntu/images/2204containerd/versions/202402.26.0","202402.26.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202402.26.0","202402.26.0"
"AKSCBLMariner/images/V2/versions/202402.26.0","202402.26.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202402.26.0","202402.26.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202402.26.0","202402.26.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202402.26.0","202402.26.0"
"AKSCBLMariner/images/V2gen2fips/versions/202402.26.0","202402.26.0"
"AKSUbuntu/images/2204gen2containerd/versions/202402.19.0","202402.19.0"
"AKSCBLMariner/images/V2gen2/versions/202402.19.0","202402.19.0"
"AKSUbuntu/images/2204containerd/versions/202402.19.0","202402.19.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202402.19.0","202402.19.0"
"AKSCBLMariner/images/V2/versions/202402.19.0","202402.19.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202402.19.0","202402.19.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202402.19.0","202402.19.0"
"AKSAzureLinux/images/V2gen2/versions/202402.19.0","202402.19.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202402.19.0","202402.19.0"
"AKSCBLMariner/images/V2gen2fips/versions/202402.19.0","202402.19.0"
"AKSCBLMariner/images/V2gen2/versions/202402.12.0","202402.12.0"
"AKSUbuntu/images/2204gen2containerd/versions/202402.12.0","202402.12.0"
"AKSUbuntu/images/2204containerd/versions/202402.12.0","202402.12.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202402.12.0","202402.12.0"
"AKSCBLMariner/images/V2gen2fips/versions/202402.12.0","202402.12.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202402.12.0","202402.12.0"
"AKSCBLMariner/images/V2/versions/202402.12.0","202402.12.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202402.12.0","202402.12.0"
"AKSCBLMariner/images/V2gen2TL/versions/202402.12.0","202402.12.0"
"AKSUbuntu/images/2204gen2containerd/versions/202402.07.0","202402.07.0"
"AKSCBLMariner/images/V2gen2/versions/202402.07.0","202402.07.0"
"AKSUbuntu/images/2204containerd/versions/202402.07.0","202402.07.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202402.07.0","202402.07.0"
"AKSCBLMariner/images/V2/versions/202402.07.0","202402.07.0"
"AKSCBLMariner/images/V2gen2fips/versions/202402.07.0","202402.07.0"
"AKSUbuntu/images/2004fipscontainerd/versions/202402.07.0","202402.07.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202402.07.0","202402.07.0"
"AKSAzureLinux/images/V2gen2/versions/202402.07.0","202402.07.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202402.07.0","202402.07.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202402.07.0","202402.07.0"
"AKSCBLMariner/images/V2gen2/versions/202401.17.2","202401.17.2"
"AKSCBLMariner/images/V2/versions/202401.17.2","202401.17.2"
"AKSUbuntu/images/2204gen2containerd/versions/202401.17.1","202401.17.1"
"AKSUbuntu/images/2204containerd/versions/202401.17.1","202401.17.1"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202401.17.1","202401.17.1"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202401.17.1","202401.17.1"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202401.17.1","202401.17.1"
"AKSUbuntu/images/2204gen2containerd/versions/202401.17.0","202401.17.0"
"AKSUbuntu/images/2204gen2containerd/versions/202401.09.2","202401.09.2"
"AKSUbuntu/images/2204containerd/versions/202401.09.2","202401.09.2"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202401.09.2","202401.09.2"
"AKSUbuntu/images/2204gen2containerd/versions/202401.09.0","202401.09.0"
"AKSCBLMariner/images/V2gen2/versions/202401.09.0","202401.09.0"
"AKSUbuntu/images/2204containerd/versions/202401.09.0","202401.09.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202401.09.0","202401.09.0"
"AKSCBLMariner/images/V2gen2fips/versions/202401.09.0","202401.09.0"
"AKSCBLMariner/images/V2/versions/202401.09.0","202401.09.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202401.09.0","202401.09.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202401.09.0","202401.09.0"
"AKSCBLMariner/images/V2katagen2/versions/202401.09.0","202401.09.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202401.09.0","202401.09.0"
"AKSUbuntuEdgeZone/images/2204gen2containerd/versions/202401.09.0","202401.09.0"
"AKSUbuntu/images/2204gen2TLcontainerd/versions/202401.09.0","202401.09.0"
"AKSCBLMariner/images/V2gen2/versions/202401.03.0","202401.03.0"
"AKSUbuntu/images/2204gen2containerd/versions/202401.03.0","202401.03.0"
"AKSUbuntu/images/2204containerd/versions/202401.03.0","202401.03.0"
"AKSCBLMariner/images/V2/versions/202401.03.0","202401.03.0"
"AKSUbuntu/images/2004gen2fipscontainerd/versions/202401.03.0","202401.03.0"
"AKSUbuntu/images/2004gen2CVMcontainerd/versions/202401.03.0","202401.03.0"
"AKSUbuntu/images/2204gen2arm64containerd/versions/202401.03.0","202401.03.0"
"AKSCBLMariner/images/V2gen2fips/versions/202401.03.0","202401.03.0"
"AKSCBLMariner/images/V2katagen2/versions/202401.03.0","202401.03.0"
"AKSCBLMariner/images/V2gen2arm64/versions/202401.03.0","202401.03.0"
"AKSSecurityPatchedVHD_d3ea0923c7b906ef/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_40fd2f9976206b25/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_186e9920df0bc93/images/AKSUbuntu-2204containerd-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_de358995834dca67/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_26db529b9e47f97/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_6e2ee9c1c2a85117/images/AKSUbuntu-2204containerd-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_5b36c740a2d86be7/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_3459b16781059dbb/images/AKSUbuntu-2204containerd-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_eb77456d09eabd95/images/AKSCBLMariner-V2-202405.27.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_18560959734af6d3/images/AKSCBLMariner-V2gen2-202405.03.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_afd305811ef05f63/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_e3ad99645a2f61fb/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_be29f4fe4184e685/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_f13eb6a94bd02da7/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_6ad0cff7eb60957d/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_1704477416408fdb/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_b8ad45c75f3b83b9/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_25737e94dc1ffcf3/images/AKSCBLMariner-V2gen2-202405.03.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_beb11bbbae54aa87/images/AKSUbuntu-2204containerd-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_c4f1945b2263dc19/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_8d3ca2dbaad4f083/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_3aa93a5127d33c01/images/AKSCBLMariner-V2-202405.03.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_2cb3b8e75fecaad9/images/AKSCBLMariner-V2-202405.27.0/versions/2024.06.27","2024.06.27"
"AKSSecurityPatchedVHD_b12f7767caaadd5f/images/AKSCBLMariner-V2gen2-202405.20.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_c875467bd7cd31c1/images/AKSUbuntu-2204containerd-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_acd3c208d6b37989/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_acd3c208d6b37989/images/AKSCBLMariner-V2-202405.27.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_98e933c018b706fb/images/AKSCBLMariner-V2gen2-202402.07.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_1d7c22bb0bf4bcd1/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_1d7c22bb0bf4bcd1/images/AKSCBLMariner-V2-202406.07.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_344cbfdbc0ef69dd/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_63f1962630b02e29/images/AKSCBLMariner-V2gen2-202404.09.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_b3b5155bedb5a305/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_dca849af4859d761/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_382b027d9f6cfb7f/images/AKSCBLMariner-V2gen2-202405.03.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_757c49d3cf8c6579/images/AKSUbuntu-2204containerd-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_2fcf463e68ad8ecf/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_f0a1d61ba27bb251/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_90a8bbcfc5b82d3d/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_85ad9bcbc0e50a39/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_1ab6be4672292f3b/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_20e7059a111dd175/images/AKSUbuntu-2204gen2containerd-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_52d78c1d8478135d/images/AKSCBLMariner-V2gen2-202405.20.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_3dc9491ae53da14d/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_17286a77927c313f/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_a7f90b1971fbe973/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_10c53c2162895b3b/images/AKSUbuntu-2204gen2containerd-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_23450390afa9e72b/images/AKSCBLMariner-V2gen2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_9765a3d465f1e737/images/AKSCBLMariner-V2gen2-202406.07.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_23f61401b6acf837/images/AKSCBLMariner-V2gen2-202405.20.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_2e5459eb46148e13/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_61a07248f7840d75/images/AKSCBLMariner-V2gen2-202405.20.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_ec0c2d1a2011e381/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_f88f16e0b9cc5793/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_5ba9cd4b37579ddf/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.26","2024.06.26"
"AKSSecurityPatchedVHD_4893d92675f746b5/images/AKSCBLMariner-V2-202405.03.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_16e4247761c82929/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_c6f63b50b895b359/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_a625c74a98b5e69d/images/AKSCBLMariner-V2gen2-202405.03.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_9172966b18029cc9/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_aedca3d7505d67f1/images/AKSCBLMariner-V2-202405.03.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_66d7cb16accacd5d/images/AKSCBLMariner-V2-202405.03.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_939d431367619b8a/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_7461881c8573888b/images/AKSCBLMariner-V2-202404.16.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_753099fbd370d3b3/images/AKSCBLMariner-V2gen2-202405.27.0/versions/2024.06.25","2024.06.25"
"AKSSecurityPatchedVHD_39b247917cbda44b/images/AKSCBLMariner-V2-202405.27.0/versions/2024.06.25","2024.06.25"
